rank,player,position,team,bye,posrank,player_stat,points
43,Josh Allen,Q,BUF,7,1,Josh Allen,387.47800000000007
53,Patrick Mahomes,Q,KC,8,2,Patrick Mahomes,361.24999999999994
54,Justin Herbert,Q,LAC,8,3,Justin Herbert,342.356
62,Lamar Jackson,Q,BAL,10,4,Lamar Jackson,338.912
63,Kyler Murray,Q,ARI,13,5,Kyler Murray,338.54200000000003
76,Jalen Hurts,Q,PHI,7,6,Jalen Hurts,337.10200000000003
90,Tom Brady,Q,TB,11,8,Tom Brady,325.082
89,Dak Prescott,Q,DAL,9,7,Dak Prescott,322.026
93,Joe Burrow,Q,CIN,10,11,Joe Burrow,310.9
91,Aaron Rodgers,Q,GB,14,9,Aaron Rodgers,310.68800000000005
103,Trey Lance,Q,SF,9,13,Trey Lance,302.404
94,Matthew Stafford,Q,LAR,7,12,Matthew Stafford,302.24199999999996
92,Russell Wilson,Q,DEN,9,10,Russell Wilson,297.022
1,Jonathan Taylor,R,IND,14,1,Jonathan Taylor,291.65999999999997
123,Kirk Cousins,Q,MIN,7,15,Kirk Cousins,287.42199999999997
122,Derek Carr,Q,LV,6,14,Derek Carr,283.04200000000003
128,Tua Tagovailoa,Q,MIA,11,17,Tua Tagovailoa,269.544
7,Derrick Henry,R,TEN,6,4,Derrick Henry,265.02
220,Ryan Tannehill,Q,TEN,6,23,Ryan Tannehill,264.508
127,Trevor Lawrence,Q,JAC,11,16,Trevor Lawrence,261.346
129,Justin Fields,Q,CHI,14,18,Justin Fields,255.64600000000002
243,Matt Ryan,Q,IND,14,24,Matt Ryan,251.62
187,Daniel Jones,Q,NYG,9,19,Daniel Jones,251.21399999999997
4,Austin Ekeler,R,LAC,8,3,Austin Ekeler,250.10000000000002
2,Christian McCaffrey,R,CAR,13,2,Christian McCaffrey,248.92999999999998
188,Jameis Winston,Q,NO,14,20,Jameis Winston,245.63000000000002
244,Mac Jones,Q,NE,10,25,Mac Jones,244.5
215,Carson Wentz,Q,WAS,14,21,Carson Wentz,241.17
3,Cooper Kupp,W,LAR,7,1,Cooper Kupp,236.16000000000005
245,Jared Goff,Q,DET,6,26,Jared Goff,235.73200000000003
266,Baker Mayfield,Q,CAR,13,27,Baker Mayfield,226.98
219,Zach Wilson,Q,NYJ,10,22,Zach Wilson,226.23600000000005
14,Joe Mixon,R,CIN,10,8,Joe Mixon,225.81000000000003
10,Dalvin Cook,R,MIN,7,7,Dalvin Cook,220.39000000000001
9,Alvin Kamara,R,NO,14,6,Alvin Kamara,219.54000000000002
268,Davis Mills,Q,HOU,6,29,Davis Mills,216.91200000000003
8,Najee Harris,R,PIT,9,5,Najee Harris,213.64000000000001
6,Ja'Marr Chase,W,CIN,10,3,Ja'Marr Chase,209.74
5,Justin Jefferson,W,MIN,7,2,Justin Jefferson,208.68
12,Deebo Samuel,W,SF,9,5,Deebo Samuel,206.29999999999998
18,Leonard Fournette,R,TB,11,10,Leonard Fournette,202.39999999999998
269,Marcus Mariota,Q,ATL,14,30,Marcus Mariota,201.02200000000002
22,James Conner,R,ARI,13,12,James Conner,200.96000000000004
23,Aaron Jones,R,GB,14,13,Aaron Jones,197.01999999999998
33,Nick Chubb,R,CLE,9,16,Nick Chubb,196.82000000000002
20,Javonte Williams,R,DEN,9,11,Javonte Williams,196.70000000000002
28,Saquon Barkley,R,NYG,9,14,Saquon Barkley,194.92
15,D'Andre Swift,R,DET,6,9,D'Andre Swift,187.62
11,Davante Adams,W,LV,6,4,Davante Adams,186.42
